Unnamed: 0,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
68,2018-07-27,559.5,SLD,-10.0,561.0,2018-07-27,WEAT US EQUITY_1KWC2 COMDTY_7,EXIT,,2018-07-27,,561.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,40.0,21096.902654867263,527.4225663716816,22380.0,0,1283.0973451327372,53734.25,31354.25,25744.25,5610.0,1,0,335.7743362831843,0.06366324797080444,335.7743362831843,1618.8716814159216,15.0,1,0.03237743362831843,0.0003,0.006715486725663686
69,2018-07-27,559.5,SLD,-10.0,561.0,2018-07-27,WEAT US EQUITY_1KWC2 COMDTY_8,EXIT,,2018-07-27,,561.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,30.0,15822.676991150447,527.4225663716816,16785.0,0,962.3230088495529,53749.25,36964.25,31354.25,5610.0,1,0,335.7743362831843,0.06366324797080444,335.7743362831843,1298.0973451327372,15.0,1,0.025961946902654746,0.0003,0.006715486725663686
70,2018-07-27,559.5,SLD,-10.0,561.0,2018-07-27,WEAT US EQUITY_1KWC2 COMDTY_9,EXIT,,2018-07-27,,561.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,20.0,10548.451327433631,527.4225663716816,11190.0,0,641.5486725663686,53764.25,42574.25,36964.25,5610.0,1,0,335.7743362831843,0.06366324797080444,335.7743362831843,977.3230088495529,15.0,1,0.01954646017699106,0.0003,0.006715486725663686
71,2018-07-27,559.5,SLD,-10.0,561.0,2018-07-27,WEAT US EQUITY_1KWC2 COMDTY_10,EXIT,,2018-07-27,,561.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,10.0,5274.225663716816,527.4225663716816,5595.0,0,320.7743362831843,53779.25,48184.25,42574.25,5610.0,1,0,335.7743362831843,0.06366324797080444,335.7743362831843,656.5486725663686,15.0,1,0.013130973451327372,0.0003,0.006715486725663686
72,2018-07-27,559.5,SLD,-10.0,561.0,2018-07-27,WEAT US EQUITY_1KWC2 COMDTY_11,EXIT,,2018-07-27,,561.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,53794.25,53794.25,48184.25,5610.0,1,0,335.7743362831843,0.06366324797080444,335.7743362831843,335.7743362831843,15.0,0,0.006715486725663686,0.0003,0.006715486725663686
73,2018-07-30,574.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,53794.25,53794.25,53794.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
74,2018-07-31,584.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,53794.25,53794.25,53794.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
75,2018-08-01,591.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,53794.25,53794.25,53794.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
76,2018-08-02,596.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,53794.25,53794.25,53794.25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
77,2018-08-03,595.25,BOT,8.0,600.0,2018-08-03,WEAT US EQUITY_1KWC2 COMDTY_12,ENTER,,2018-08-03,,600.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,8.0,4800.0,600.0,4762.0,0,-38.0,53756.25,48994.25,53794.25,-4800.0,0,0,0.0,0.0,0.0,-38.0,-38.0,1,-0.00076,-0.00076,0.0
78,2018-08-06,614.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,8.0,4800.0,600.0,4912.0,0,112.0,53906.25,48994.25,48994.25,0.0,0,0,0.0,0.0,0.0,112.0,150.0,1,0.00224,0.003,0.0
79,2018-08-07,607.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,8.0,4800.0,600.0,4858.0,0,58.0,53852.25,48994.25,48994.25,0.0,0,0,0.0,0.0,0.0,58.0,-54.0,1,0.00116,-0.00108,0.0
80,2018-08-08,610.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,8.0,4800.0,600.0,4886.0,0,86.0,53880.25,48994.25,48994.25,0.0,0,0,0.0,0.0,0.0,86.0,28.0,1,0.00172,0.00056,0.0
81,2018-08-09,604.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,8.0,4800.0,600.0,4834.0,0,34.0,53828.25,48994.25,48994.25,0.0,0,0,0.0,0.0,0.0,34.0,-52.0,1,0.00068,-0.00104,0.0
82,2018-08-10,585.0,BOT,8.0,604.75,2018-08-10,WEAT US EQUITY_1KWC2 COMDTY_13,ENTER,,2018-08-10,,604.75,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,16.0,9638.0,602.375,9360.0,0,-278.0,53516.25,44156.25,48994.25,-4838.0,0,0,0.0,0.0,0.0,-278.0,-312.0,1,-0.00556,-0.00624,0.0
83,2018-08-13,567.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,16.0,9638.0,602.375,9072.0,0,-566.0,53228.25,44156.25,44156.25,0.0,0,0,0.0,0.0,0.0,-566.0,-288.0,1,-0.01132,-0.00576,0.0
84,2018-08-14,572.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,16.0,9638.0,602.375,9160.0,0,-478.0,53316.25,44156.25,44156.25,0.0,0,0,0.0,0.0,0.0,-478.0,88.0,1,-0.00956,0.00176,0.0
