,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
26,7.01,6.92,7.0,6.86,179060.0,6.9573,2018-06-07,2018-06-07,6.92,34618.0,215091.0,35095.5,477.5,0.0,477.5,222.75,0,0,0.0,0.0,3,35095.5,0.0,0.0,35095.5,35095.5,0.0,0.006392226397788918,0.0,0.006392226397788918
27,6.97,6.86,6.95,6.761,129153.0,6.8871,2018-06-08,2018-06-08,6.86,54276.0,195433.0,54076.0,-200.0,0.0,-200.0,-677.5,0,0,0.0,0.0,4,54076.0,0.0,-19658.0,54076.0,54076.0,0.0,-0.01944212518294946,0.0,-0.01944212518294946
28,6.88,6.79,6.88,6.7425,143737.0,6.7905,2018-06-11,2018-06-11,6.79,54276.0,195433.0,53667.5,-608.5,0.0,-608.5,-408.5,0,0,0.0,0.0,4,53667.5,0.0,0.0,53667.5,53667.5,0.0,-0.011722668837247017,0.0,-0.011722668837247017
29,7.039,7.01,6.86,6.786,332416.0,6.9068,2018-06-12,2018-06-12,7.01,54276.0,195433.0,55047.0,771.0,0.0,771.0,1379.5,0,0,0.0,0.0,4,55047.0,0.0,0.0,55047.0,55047.0,0.0,0.03958732352749635,0.0,0.03958732352749635
30,6.93,6.81,6.93,6.79,175557.0,6.8326,2018-06-13,2018-06-13,6.81,54276.0,195433.0,53904.0,-372.0,0.0,-372.0,-1143.0,0,0,0.0,0.0,4,53904.0,0.0,0.0,53904.0,53904.0,0.0,-0.03280051525330071,0.0,-0.03280051525330071
31,6.749,6.64,6.7,6.6101,384531.0,6.6483,2018-06-14,2018-06-14,6.64,54276.0,195433.0,52522.0,-1754.0,0.0,-1754.0,-1382.0,0,0,0.0,0.0,4,52522.0,0.0,0.0,52522.0,52522.0,0.0,-0.03965906568684303,0.0,-0.03965906568684303
32,6.69,6.57,6.54,6.5,322952.0,6.609,2018-06-15,2018-06-15,6.57,78434.0,171275.0,75959.25,-2474.75,0.0,-2474.75,-720.75,0,0,0.0,0.0,5,75959.25,0.0,-24158.0,75959.25,75959.25,0.0,-0.02068326453964697,0.0,-0.02068326453964697
33,6.5,6.43,6.49,6.42,155733.0,6.4467,2018-06-18,2018-06-18,6.43,78434.0,171275.0,73756.75,-4677.25,0.0,-4677.25,-2202.5,0,0,0.0,0.0,5,73756.75,0.0,0.0,73756.75,73756.75,0.0,-0.06320484238442241,0.0,-0.06320484238442241
34,6.36,6.31,6.34,6.203,453618.0,6.2763,2018-06-19,2018-06-19,6.31,78434.0,171275.0,71677.0,-6757.0,0.0,-6757.0,-2079.75,0,0,0.0,0.0,5,71677.0,0.0,0.0,71677.0,71677.0,0.0,-0.059682302360500566,0.0,-0.059682302360500566
35,6.39,6.38,6.35,6.25,141008.0,6.2972,2018-06-20,2018-06-20,6.38,78434.0,171275.0,72466.5,-5967.5,0.0,-5967.5,789.5,0,0,0.0,0.0,5,72466.5,0.0,0.0,72466.5,72466.5,0.0,0.022656173921680588,0.0,0.022656173921680588
36,6.48,6.446,6.46,6.43,108534.0,6.455,2018-06-21,2018-06-21,6.446,78434.0,171275.0,72959.25,-5474.75,0.0,-5474.75,492.75,0,0,0.0,0.0,5,72959.25,0.0,0.0,72959.25,72959.25,0.0,0.01414037960723003,0.0,0.01414037960723003
37,6.4403,6.41,6.42,6.3586,73658.0,6.4119,2018-06-22,2018-06-22,6.41,78875.5,170127.25,73498.25,-5377.25,-706.2499999999995,-6083.5,-608.75,0,3,-706.2499999999995,-0.1426969754231233,3,73498.25,0.0,-1147.75,73498.25,73498.25,-0.02026716001543623,-0.01746921580091584,-0.02026716001543623,-0.01746921580091584
