Unnamed: 0,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
10,2015-05-15,511.0,2015-05-15,BOT,10.0,515.0,WEAT US EQUITY_WC1 COMDTY_2,ENTER,,2015-05-15,,515.0,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,31.0,14993.0,483.64516129032256,15841.0,0,848.0,50848.0,35007.0,40157.0,-5150.0,0,0,0.0,0.0,0.0,848.0,154.25,1,0.01696,0.003085,0.0
11,2015-05-18,521.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,31.0,14993.0,483.64516129032256,16174.25,0,1181.25,51181.25,35007.0,35007.0,0.0,0,0,0.0,0.0,0.0,1181.25,333.25,1,0.023625,0.006665,0.0
12,2015-05-19,510.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,31.0,14993.0,483.64516129032256,15817.75,0,824.75,50824.75,35007.0,35007.0,0.0,0,0,0.0,0.0,0.0,824.75,-356.5,1,0.016495,-0.00713,0.0
13,2015-05-20,513.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,31.0,14993.0,483.64516129032256,15903.0,0,910.0,50910.0,35007.0,35007.0,0.0,0,0,0.0,0.0,0.0,910.0,85.25,1,0.0182,0.001705,0.0
14,2015-05-21,522.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,31.0,14993.0,483.64516129032256,16182.0,0,1189.0,51189.0,35007.0,35007.0,0.0,0,0,0.0,0.0,0.0,1189.0,279.0,1,0.02378,0.00558,0.0
15,2015-05-22,515.25,2015-05-22,SLD,-10.0,521.5,WEAT US EQUITY_WC1 COMDTY_0,EXIT,,2015-05-22,,521.5,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,21.0,10156.548387096775,483.6451612903226,10820.25,0,663.7016129032254,51042.25,40222.0,35007.0,5215.0,1,0,378.5483870967744,0.07826985926765828,378.5483870967744,1042.2499999999998,-146.75,1,0.020844999999999995,-0.002935,0.0075709677419354875
16,2015-05-22,515.25,2015-05-22,SLD,-11.0,521.5,WEAT US EQUITY_WC1 COMDTY_1,EXIT,,2015-05-22,,521.5,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4836.451612903226,483.6451612903226,5152.5,0,316.0483870967737,51111.0,45958.5,40222.0,5736.5,1,0,416.4032258064512,0.07826985926765814,416.4032258064512,732.4516129032249,68.75,1,0.0146490322580645,0.001375,0.008328064516129025
17,2015-05-22,515.25,2015-05-22,SLD,-10.0,521.5,WEAT US EQUITY_WC1 COMDTY_2,EXIT,,2015-05-22,,521.5,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,51173.5,51173.5,45958.5,5215.0,1,0,378.5483870967738,0.07826985926765816,378.5483870967738,378.5483870967738,62.5,0,0.007570967741935476,0.00125,0.007570967741935476
18,2015-05-26,493.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,51173.5,51173.5,51173.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
19,2015-05-27,487.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,51173.5,51173.5,51173.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
